Date Time, Water Level, Sigma,Flag, F, R, L, Quality 
2016-05-02 02:54:00-04:00,0.804,0.005,0,0,0,0,v
2016-05-02 03:00:00-04:00,0.709,0.007,0,0,0,0,v
2016-05-02 03:06:00-04:00,0.666,0.005,0,0,0,0,v
2016-05-02 03:12:00-04:00,0.492,0.006,0,0,0,0,v
2016-05-02 03:18:00-04:00,0.387,0.01,0,0,0,0,v
2016-05-02 03:24:00-04:00,0.295,0.009,0,0,0,0,v
2016-05-02 03:30:00-04:00,0.131,0.011,0,0,0,0,v
2016-05-02 03:36:00-04:00,-0.089,0.008,0,0,0,0,v
2016-05-02 03:42:00-04:00,-0.131,0.009,0,0,0,0,v
2016-05-02 03:48:00-04:00,-0.194,0.012,0,0,0,0,v
2016-05-02 03:54:00-04:00,-0.289,0.007,0,0,0,0,v
2016-05-02 04:00:00-04:00,-0.42,0.006,0,0,0,0,v
2016-05-02 04:06:00-04:00,-0.453,0.011,0,0,0,0,v
2016-05-02 04:12:00-04:00,-0.532,0.004,0,0,0,0,v
2016-05-02 04:18:00-04:00,-0.673,0.007,0,0,0,0,v
2016-05-02 04:24:00-04:00,-0.787,0.007,0,0,0,0,v
2016-05-02 04:30:00-04:00,-0.869,0.005,0,0,0,0,v
2016-05-02 04:36:00-04:00,-0.961,0.005,0,0,0,0,v
2016-05-02 04:42:00-04:00,-1.004,0.005,0,0,0,0,v
2016-05-02 04:48:00-04:00,-1.073,0.003,0,0,0,0,v
2016-05-02 04:54:00-04:00,-1.145,0.007,0,0,0,0,v
2016-05-02 05:00:00-04:00,-1.24,0.004,0,0,0,0,v
2016-05-02 05:06:00-04:00,-1.319,0.005,0,0,0,0,v
2016-05-02 05:12:00-04:00,-1.431,0.005,0,0,0,0,v
2016-05-02 05:18:00-04:00,-1.522,0.004,0,0,0,0,v
2016-05-02 05:24:00-04:00,-1.614,0.005,0,0,0,0,v
2016-05-02 05:30:00-04:00,-1.611,0.006,0,0,0,0,v
2016-05-02 05:36:00-04:00,-1.637,0.005,0,0,0,0,v
